protein_idx,gene_id,gene_symbol
262,8569,MKNK1
263,57659,ZBTB4
264,1488,CTBP2
265,1616,DAXX
266,5727,PTCH1
267,5457,POU4F1
268,2033,EP300
269,10769,PLK2
270,65125,WNK1
271,26118,WSB1
272,5928,RBBP4
273,142,PARP1
274,8312,AXIN1
275,51701,NLK
276,5300,PIN1
277,8850,KAT2B
278,4999,ORC2
279,28991,COMMD5
280,54951,COMMD8
281,51397,COMMD10
282,170622,COMMD6
283,150684,COMMD1
284,54939,COMMD4
285,28952,CCDC22
286,404636,FAM45A
287,51699,VPS29
288,23412,COMMD3
289,5971,RELB
290,5970,RELA
291,4790,NFKB1
292,51122,COMMD2
293,54520,CCDC93
294,148156,ZNF558
295,5265,SERPINA1
296,85302,FBF1
297,335,APOA1
298,348,APOE
299,1102,RCBTB2
300,56915,EXOSC5
301,4343,MOV10
302,2512,FTL
303,28992,MACROD1
304,55506,H2AFY2
305,11198,SUPT16H
306,9531,BAG3
307,3040,HBA2
308,2099,ESR1
309,9188,DDX21
310,23085,ERC1
311,2547,XRCC6
312,3551,IKBKB
313,6749,SSRP1
314,4904,YBX1
315,3046,HBE1
316,8517,IKBKG
317,7803,PTP4A1
318,5778,PTPN7
319,10038,PARP2
320,11336,EXOC3
321,5777,PTPN6
322,1069,CETN2
323,440686,NA
324,5518,PPP2R1A
325,7508,XPC
326,5610,EIF2AK2
327,6117,RPA1
328,3014,H2AFX
329,7520,XRCC5
330,3192,HNRNPU
331,1479,CSTF3
332,3980,LIG3
333,1660,DHX9
334,28999,KLF15
335,8503,PIK3R3
336,23129,PLXND1
337,6839,SUV39H1
338,3630,INS
339,6943,TCF21
340,5529,PPP2R5E
341,445582,POTEE
342,653781,POTEJ
343,5565,PRKAB2
344,653269,POTEI
345,6517,SLC2A4
346,23294,ANKS1A
347,50512,PODXL2
348,2624,GATA2
349,348807,CFAP100
350,340706,VWA2
351,728378,POTEF
352,120,ADD3
353,9841,ZBTB24
354,5361,PLXNA1
355,54101,RIPK4
356,5468,PPARG
357,1490,CTGF
358,4176,MCM7
359,1188,CLCNKB
360,26060,APPL1
361,6774,STAT3
362,1187,CLCNKA
363,23161,SNX13
364,23023,TMCC1
365,28998,MRPL13
366,60488,MRPS35
367,27258,LSM3
368,79631,EFL1
369,7818,DAP3
370,6125,RPL5
371,6124,RPL4
372,10213,PSMD14
373,81892,SLIRP
374,6142,RPL18A
375,6729,SRP54
376,6129,RPL7
377,6128,RPL6
378,10102,TSFM
379,64976,MRPL40
380,64975,MRPL41
381,790,CAD
382,1540,CYLD
383,6223,RPS19
384,55052,MRPL20
385,55299,BRIX1
386,79023,NUP37
387,64979,MRPL36
388,64978,MRPL38
389,10667,FARS2
390,51069,MRPL2
391,57226,LYRM2
392,51065,RPS27L
393,10190,TXNDC9
394,6227,RPS21
395,65080,MRPL44
396,6193,RPS5
397,6224,RPS20
398,6181,RPLP2
399,57129,MRPL47
400,54948,MRPL16
401,65993,MRPS34
402,51373,MRPS17
403,10884,MRPS30
404,64951,MRPS24
405,6152,RPL24
406,6154,RPL26
407,3336,HSPE1
408,6156,RPL30
409,6157,RPL27A
410,54998,AURKAIP1
411,6159,RPL29
412,143244,EIF5AL1
413,64960,MRPS15
414,114294,LACTB
415,64963,MRPS11
416,4736,RPL10A
417,64965,MRPS9
418,92259,MRPS36
419,6168,RPL37A
420,64968,MRPS6
421,64969,MRPS5
422,118487,CHCHD1
423,51154,MRTO4
424,51250,C6orf203
425,54516,MTRF1L
426,84545,MRPL43
427,6188,RPS3
428,51073,MRPL4
429,6123,RPL3L
430,6165,RPL35A
431,116540,MRPL53
432,5018,OXA1L
433,6122,RPL3
434,5155,PDGFB
435,28973,MRPS18B
436,10399,RACK1
437,6143,RPL19
438,317749,DHRS4L2
439,6141,RPL18
440,124995,MRPL10
441,6146,RPL22
442,6144,RPL21
443,51121,RPL26L1
444,51081,MRPS7
445,8520,HAT1
446,90480,GADD45GIP1
447,5250,SLC25A3
448,11224,RPL35
449,6164,RPL34
450,27235,COQ2
451,4722,NDUFS3
452,65008,MRPL1
453,23173,METAP1
454,51117,COQ4
455,51116,MRPS2
456,6167,RPL37
457,4967,OGDH
458,55037,PTCD3
459,65003,MRPL11
460,65005,MRPL9
461,5683,PSMA2
462,124454,EARS2
463,5432,POLR2C
464,28957,MRPS28
465,29093,MRPL22
466,4706,NDUFAB1
467,9086,EIF1AY
468,51642,MRPL48
469,1984,EIF5A
470,9521,EEF1E1
471,64216,TFB2M
472,54148,MRPL39
473,4358,MPV17
474,23256,SCFD1
475,6175,RPLP0
476,8669,EIF3J
477,6176,RPLP1
478,1938,EEF2
479,248,ALPI
480,6170,RPL39
481,1933,EEF1B2
482,25973,PARS2
483,22984,PDCD11
484,3396,ICT1
485,51187,RSL24D1
486,64983,MRPL32
487,5859,QARS
488,84311,MRPL45
489,56342,PPAN
490,8813,DPM1
491,116832,RPL39L
492,254042,METAP1D
493,29927,SEC61A1
494,9553,MRPL33
495,79590,MRPL24
496,54534,MRPL50
497,3692,EIF6
498,6155,RPL27
499,2597,GAPDH
500,64432,MRPS25
501,3615,IMPDH2
502,23658,LSM5
503,5036,PA2G4
504,51263,MRPL30
505,9533,POLR1C
506,6169,RPL38
507,10557,RPP38
508,5984,RFC4
509,2197,FAU
510,6161,RPL32
511,6160,RPL31
512,250,ALPP
513,251,ALPPL2
514,6921,TCEB1
515,11222,MRPL3
516,219927,MRPL21
517,6166,RPL36AL
518,51021,MRPS16
519,1738,DLD
520,51023,MRPS18C
521,5431,POLR2B
522,5440,POLR2K
523,116541,MRPL54
524,5888,RAD51
525,6205,RPS11
526,7155,TOP2B
527,6173,RPL36A
528,6204,RPS10
529,140801,RPL10L
530,6206,RPS12
531,6207,RPS13
532,219402,MTIF3
533,140032,RPS4Y2
534,6202,RPS8
535,23144,ZC3H3
536,55157,DARS2
537,5685,PSMA4
538,6208,RPS14
539,6209,RPS15
540,100505503,NA
541,6201,RPS7
542,9349,RPL23
543,26589,MRPL46
544,84340,GFM2
545,60558,GUF1
546,1356,CP
547,55272,IMP3
548,29088,MRPL15
549,6194,RPS6
550,114987,WDR31
551,6158,RPL28
552,5684,PSMA3
553,10240,MRPS31
554,100526842,RPL17-C18orf32
555,51258,MRPL51
556,285855,RPL7L1
557,4528,MTIF2
558,8446,DUSP11
559,6217,RPS16
560,8661,EIF3A
561,63875,MRPL17
562,55651,NHP2
563,64928,MRPL14
564,6191,RPS4X
565,6192,RPS4Y1
566,6210,RPS15A
567,6147,RPL23A
568,7407,VARS
569,152926,PPM1K
570,51649,MRPS23
571,51727,CMPK1
572,8833,GMPS
573,6218,RPS17
574,740,MRPL49
575,9617,MTRF1
576,9343,EFTUD2
577,122704,MRPL52
578,7284,TUFM
579,55168,MRPS18A
580,23107,MRPS27
581,6137,RPL13
582,8565,YARS
583,200916,RPL22L1
584,9801,MRPL19
585,6897,TARS
586,81789,TIGD6
587,9051,PSTPIP1
588,5889,RAD51C
589,64981,MRPL34
590,10576,CCT2
591,9820,CUL7
592,10573,MRPL28
593,85476,GFM1
594,10412,NSA2
595,7189,TRAF6
596,1964,EIF1AX
597,63931,MRPS14
598,51004,COQ6
599,1613,DAPK3
600,51001,MTERF3
601,6187,RPS2
602,29074,MRPL18
603,64949,MRPS26
604,6183,MRPS12
605,6182,MRPL12
606,51650,MRPS33
607,55703,POLR3B
608,55173,MRPS10
609,10901,DHRS4
610,6228,RPS23
611,6229,RPS24
612,55176,SEC61A2
613,6189,RPS3A
614,84172,POLR1B
615,6150,MRPL23
616,56648,EIF5A2
617,6231,RPS26
618,54460,MRPS21
619,124152,IQCK
620,6235,RPS29
621,6734,SRPRA
622,8555,CDC14B
623,25873,RPL36
624,6637,SNRPG
625,101,ADAM8
626,56943,ENY2
627,51253,MRPL37
628,4716,NDUFB10
629,6139,RPL17
630,2335,FN1
631,56945,MRPS22
632,3178,HNRNPA1
633,6132,RPL8
634,6133,RPL9
635,6130,RPL7A
636,78988,MRPL57
637,6136,RPL12
638,4719,NDUFS1
639,6134,RPL10
640,6135,RPL11
641,388569,ZNF324B
642,51319,RSRC1
643,51318,MRPL35
644,51264,MRPL27
645,4809,SNU13
646,28977,MRPL42
647,6234,RPS28
648,128308,MRPL55
649,6230,RPS25
650,6232,RPS27
651,55349,CHDH
652,216,ALDH1A1
653,3611,ILK
654,84647,PLA2G12B
655,217,ALDH2
656,254531,LPCAT4
657,57017,COQ9
658,50487,PLA2G3
659,10162,LPCAT3
660,218,ALDH3A1
661,219,ALDH1B1
662,123745,PLA2G4E
663,81490,PTDSS2
664,8681,JMJD7-PLA2G4B
665,5322,PLA2G5
666,5337,PLD1
667,10380,BPNT1
668,126917,IFFO2
669,30814,PLA2G2E
670,64577,ALDH8A1
671,153642,ARSK
672,55959,SULF2
673,391013,PLA2G2C
674,7915,ALDH5A1
675,8399,PLA2G10
676,154141,MBOAT1
677,5319,PLA2G1B
678,81579,PLA2G12A
679,129642,MBOAT2
680,160428,ALDH1L2
681,347527,ARSH
682,64600,PLA2G2F
683,340075,ARSI
684,85465,EPT1
685,84557,MAP1LC3A
686,283748,PLA2G4D
687,4697,NDUFA4
688,126133,ALDH16A1
689,501,ALDH7A1
690,79642,ARSJ
691,23213,SULF1
692,635,BHMT
693,55621,TRMT1
694,23761,PISD
695,2588,GALNS
696,10390,CEPT1
697,374291,NDUFS7
698,23646,PLD3
699,5320,PLA2G2A
700,5321,PLA2G4A
701,22901,ARSG
702,54059,YBEY
703,8605,PLA2G4C
704,223,ALDH9A1
705,222,ALDH3B2
706,6448,SGSH
707,220,ALDH1A3
708,10840,ALDH1L1
709,124925,SEZ6
710,11145,PLA2G16
711,3423,IDS
712,122618,PLD4
713,54968,TMEM70
714,8878,SQSTM1
715,224,ALDH3A2
716,5338,PLD2
717,414,ARSD
718,415,ARSE
719,416,ARSF
720,2799,GNS
721,410,ARSA
722,411,ARSB
723,412,STS
724,388677,NOTCH2NL
725,1666,DECR1
726,255189,PLA2G4F
727,8398,PLA2G6
728,151056,PLB1
729,8854,ALDH1A2
730,55293,UEVLD
731,23753,SDF2L1
732,57132,CHMP1B
733,3417,IDH1
734,498,ATP5A1
735,5096,PCCB
736,3329,HSPD1
737,130589,GALM
738,3418,IDH2
739,5106,PCK2
740,8659,ALDH4A1
741,9563,H6PD
742,10015,PDCD6IP
743,89853,MVB12B
744,1491,CTH
745,51560,RAB6B
746,55905,RNF114
747,51160,VPS28
748,6390,SDHB
749,6391,SDHC
750,3030,HADHA
751,79738,BBS10
752,84706,GPT2
753,55753,OGDHL
754,4329,ALDH6A1
755,7316,UBC
756,55526,DHTKD1
757,114112,TXNRD3
758,4200,ME2
759,9146,HGS
760,171425,CLYBL
761,79720,VPS37B
762,5313,PKLR
763,5315,PKM
764,8801,SUCLG2
765,8802,SUCLG1
766,8803,SUCLA2
767,10873,ME3
768,79896,THNSL1
769,4199,ME1
770,2936,GSR
771,2023,ENO1
772,85415,RHPN2
773,27243,CHMP2A
774,92421,CHMP4C
775,4357,MPST
776,8836,GGH
777,2271,FH
778,1431,CS
779,7372,UMPS
780,31,ACACA
781,347517,RAB41
782,84680,ACCS
783,5870,RAB6A
784,114822,RHPN1
785,5232,PGK2
786,137362,GOT1L1
787,137492,VPS37A
788,2618,GART
789,83871,RAB34
790,2806,GOT2
791,2805,GOT1
792,93594,TBC1D31
793,8195,MKKS
794,5230,PGK1
795,51028,VPS36
796,10993,SDS
797,6047,RNF4
798,25902,MTHFD1L
799,506,ATP5B
800,93343,MVB12A
801,189,AGXT
802,79643,CHMP6
803,7296,TXNRD1
804,509,ATP5C1
805,53349,ZFYVE1
806,6950,TCP1
807,221,ALDH3B1
808,5105,PCK1
809,390110,ACCSL
810,54963,UCKL1
811,4522,MTHFD1
812,2026,ENO2
813,2027,ENO3
814,32,ACACB
815,90678,LRSAM1
816,883,CCBL1
817,2731,GLDC
818,84084,RAB6C
819,10575,CCT4
820,10574,CCT7
821,6898,TAT
822,27183,VPS4A
823,7203,CCT3
824,47,ACLY
825,1962,EHHADH
826,84936,ZFYVE19
827,4594,MUT
828,200576,PIKFYVE
829,2875,GPT
830,9609,RAB36
831,79726,WDR59
832,6389,SDHA
833,9380,GRHPR
834,22948,CCT5
835,5198,PFAS
836,5832,ALDH18A1
837,55048,VPS37C
838,93550,ZFAND4
839,56267,CCBL2
840,196403,DTX3
841,64087,MCCC2
842,84313,VPS25
843,25930,PTPN23
844,55290,BRF2
845,3920,LAMP2
846,54726,OTUD4
847,2960,GTF2E1
848,2963,GTF2F2
849,2962,GTF2F1
850,661,POLR3D
851,60682,SMAP1
852,5825,ABCD3
853,51170,HSD17B11
854,11261,CHP1
855,4141,MARS
856,9688,NUP93
857,400,ARL1
858,9276,COPB2
859,55622,TTC27
860,55627,SMPD4
861,4684,NCAM1
862,6917,TCEA1
863,6919,TCEA2
864,10945,KDELR1
865,387332,TBPL2
866,84232,MAF1
867,127428,TCEANC2
868,6596,HLTF
869,51537,MTFP1
870,10431,NA
871,10430,TMEM147
872,6908,TBP
873,26155,NOC2L
874,2958,GTF2A2
875,283970,NA
876,2071,ERCC3
877,171568,POLR3H
878,64210,MMS19
879,11128,POLR3A
880,11218,DDX20
881,3315,HSPB1
882,5709,PSMD3
883,7702,ZNF143
884,10985,GCN1
885,79596,RNF219
886,114821,ZBED9
887,55718,POLR3E
888,6836,SURF4
889,170082,TCEANC
890,10302,SNAPC5
891,23122,CLASP2
892,4430,MYO1B
893,55795,PCID2
894,23244,PDS5A
895,6920,TCEA3
896,5433,POLR2D
897,5430,POLR2A
898,5436,POLR2G
899,5437,POLR2H
900,5434,POLR2E
901,5435,POLR2F
902,5438,POLR2I
903,58477,SRPRB
904,10621,POLR3F
905,10622,POLR3G
906,404672,GTF2H5
907,84265,POLR3GL
908,9131,AIFM1
909,9330,GTF3C3
910,54919,DNAAF5
911,6520,SLC3A2
912,3728,JUP
913,29080,CCDC59
914,6619,SNAPC3
915,6618,SNAPC2
916,25885,POLR1A
917,51728,POLR3K
918,55898,UNC45A
919,23534,TNPO3
920,550,AUP1
921,6745,SSR1
922,6747,SSR3
923,9183,ZW10
924,64328,XPO4
925,6621,SNAPC4
926,100287932,TIMM23
927,5451,POU2F1
928,51003,MED31
929,50628,GEMIN4
930,51082,POLR1D
931,23039,XPO7
932,51495,HACD3
933,138474,TAF1L
934,5162,PDHB
935,23214,XPO6
936,55210,ATAD3A
937,9441,MED26
938,55215,FANCI
939,489,ATP2A3
940,23451,SF3B1
941,22820,COPG1
942,55161,TMEM33
943,9519,TBPL1
944,5441,POLR2L
945,27297,CRCP
946,5934,RBL2
947,6617,SNAPC1
948,79711,IPO4
949,55291,PPP6R3
950,6591,SNAI2
951,22976,PAXIP1
952,79885,HDAC11
953,11091,WDR5
954,9070,ASH2L
955,55735,DNAJC11
956,11160,ERLIN2
957,261726,TIPRL
958,84669,USP32
959,223082,ZNRF2
960,7874,USP7
961,1894,ECT2
962,55695,NSUN5
963,22870,PPP6R1
964,55233,MOB1A
965,3320,HSP90AA1
966,9775,EIF4A3
967,84984,CEP19
968,1891,ECH1
969,23243,ANKRD28
970,2869,GRK5
971,10856,RUVBL2
972,80209,PROSER1
973,2885,GRB2
974,27005,USP21
975,161,AP2A2
976,26277,TINF2
977,7514,XPO1
978,6045,RNF2
979,55740,ENAH
980,54386,TERF2IP
981,91526,ANKRD44
982,92597,MOB1B
983,5929,RBBP5
984,7532,YWHAG
985,85451,UNK
986,55728,N4BP2
987,283373,ANKRD52
988,23054,NCOA6
989,9113,LATS1
990,3326,HSP90AB1
991,11140,CDC37
992,672,BRCA1
993,7023,TFAP4
994,25862,USP49
995,5537,PPP6C
996,7128,TNFAIP3
997,57602,USP36
998,4794,NFKBIE
999,9701,PPP6R2
1000,160,AP2A1
1001,51593,SRRT
1002,162,AP1B1
1003,5591,PRKDC
1004,8085,KMT2D
1005,7168,TPM1
1006,6790,AURKA
1007,80817,CEP44
1008,51547,SIRT7
1009,84129,ACAD11
1010,27037,TRMT2A
1011,58508,KMT2C
1012,170589,GPHA2
1013,1454,CSNK1E
1014,2108,ETFA
1015,7403,KDM6A
1016,27042,DIEXF
1017,26086,GPSM1
1018,155061,ZNF746
1019,6199,RPS6KB2
1020,4851,NOTCH1
1021,3066,HDAC2
1022,55296,TBC1D19
1023,8602,NOP14
1024,57533,TBC1D14
1025,3493,NA
1026,54839,LRRC49
1027,25809,TTLL1
1028,4111,MAGEA12
1029,23232,TBC1D12
1030,84276,NICN1
1031,5501,PPP1CC
1032,55297,CCDC91
1033,54997,TESC
1034,2130,EWSR1
1035,8165,AKAP1
1036,23481,PES1
1037,26088,GGA1
1038,56910,STARD7
1039,11276,SYNRG
1040,80007,C10orf88
1041,23062,GGA2
1042,27329,ANGPTL3
1043,92922,CCDC102A
1044,4598,MVK
1045,51191,HERC5
1046,10293,TRAIP
1047,6720,SREBF1
1048,134218,DNAJC21
1049,10517,FBXW10
1050,200933,FBXO45
1051,4149,MAX
1052,147837,ZNF563
1053,9282,MED14
1054,92304,SCGB3A1
1055,57520,HECW2
1056,142685,ASB15
1057,2913,GRM3
1058,11184,MAP4K1
1059,142689,ASB12
1060,5469,MED1
1061,84861,KLHL22
1062,10193,RNF41
1063,2313,FLI1
1064,10969,EBNA1BP2
1065,84541,KBTBD8
1066,253738,EBF3
1067,84231,TRAF7
1068,55585,UBE2Q1
1069,8239,USP9X
1070,144699,FBXL14
1071,64682,ANAPC1
1072,26091,HERC4
1073,1408,CRY2
1074,1018,CDK3
1075,1019,CDK4
1076,1017,CDK2
1077,79042,TSEN34
1078,64421,DCLRE1C
1079,9150,CTDP1
1080,340390,WDR97
1081,2762,GMDS
1082,57477,SHROOM4
1083,153090,DAB2IP
1084,57154,SMURF1
1085,7706,TRIM25
1086,908,CCT6A
1087,1536,CYBB
1088,9412,MED21
1089,9414,TJP2
1090,8453,CUL2
1091,10891,PPARGC1A
1092,5129,CDK18
1093,23327,NEDD4L
1094,9730,VPRBP
1095,91801,ALKBH8
1096,10413,YAP1
1097,84894,LINGO1
1098,4170,MCL1
1099,161742,SPRED1
1100,80196,RNF34
1101,122769,LRR1
1102,9320,TRIP12
1103,3297,HSF1
1104,131405,TRIM71
1105,8943,AP3D1
1106,51438,MAGEC2
1107,51434,ANAPC7
1108,51433,ANAPC5
1109,55159,RFWD3
1110,445815,PALM2-AKAP2
1111,84056,KATNAL1
1112,10425,ARIH2
1113,92591,ASB16
1114,143279,HECTD2
1115,84676,TRIM63
1116,92912,UBE2Q2
1117,84678,KDM2B
1118,112950,MED8
1119,200845,KCTD6
1120,9021,SOCS3
1121,9020,MAP3K14
1122,4779,NFE2L1
1123,10097,ACTR2
1124,5954,RCN1
1125,29116,MYLIP
1126,22888,UBOX5
1127,9945,GFPT2
1128,27133,KCNH5
1129,55658,RNF126
1130,90993,CREB3L1
1131,5799,PTPRN2
1132,51725,FBXO40
1133,29882,ANAPC2
1134,29886,SNX8
1135,91694,LONRF1
1136,142686,ASB14
1137,4613,MYCN
1138,151636,DTX3L
1139,27316,RBMX
1140,26190,FBXW2
1141,89910,UBE3B
1142,29766,TMOD3
1143,1278,COL1A2
1144,4254,KITLG
1145,9440,MED17
1146,150726,FBXO41
1147,79913,ACTR5
1148,26267,FBXO10
1149,688,KLF5
1150,26263,FBXO22
1151,127544,RNF19B
1152,7186,TRAF2
1153,23204,ARL6IP1
1154,1303,COL12A1
1155,55182,RNF220
1156,84078,KBTBD7
1157,51550,CINP
1158,51471,NAT8B
1159,4224,MEP1A
1160,10693,CCT6B
1161,5071,PARK2
1162,10694,CCT8
1163,127247,ASB17
1164,56951,C5orf15
1165,54850,FBXL12
1166,135892,TRIM50
1167,80028,FBXL18
1168,23295,MGRN1
1169,26135,SERBP1
1170,246184,CDC26
1171,10521,DDX17
1172,10286,BCAS2
1173,55336,FBXL8
1174,11275,KLHL2
1175,10116,FEM1B
1176,353132,LCE1B
1177,23376,UFL1
1178,144347,FAM101A
1179,6711,SPTBN1
1180,7319,UBE2A
1181,7318,UBA7
1182,7317,UBA1
1183,164832,LONRF2
1184,22843,PPM1E
1185,54512,EXOSC4
1186,3845,KRAS
1187,84708,LNX1
1188,54926,UBE2R2
1189,124245,ZC3H18
1190,65264,UBE2Z
1191,64764,CREB3L2
1192,55527,FEM1A
1193,701,BUB1B
1194,390,RND3
1195,84659,RNASE7
1196,6662,SOX9
1197,2305,FOXM1
1198,51619,UBE2D4
1199,55234,SMU1
1200,6923,TCEB2
1201,257218,SHPRH
1202,5966,REL
1203,2289,FKBP5
1204,55588,MED29
1205,8202,NCOA3
1206,64110,MAGEF1
1207,9442,MED27
1208,11083,DIDO1
1209,79754,ASB13
1210,81610,FAM83D
1211,64601,VPS16
1212,51105,PHF20L1
1213,154214,RNF217
1214,50852,TRAT1
1215,6737,TRIM21
1216,9246,UBE2L6
1217,5663,PSEN1
1218,90025,UBE3D
1219,9870,AREL1
1220,53916,RAB4B
1221,2057,EPOR
1222,90390,MED30
1223,182,JAG1
1224,122011,CSNK1A1L
1225,23014,FBXO21
1226,114088,TRIM9
1227,10153,CEBPZ
1228,23332,CLASP1
1229,2625,GATA3
1230,390594,KBTBD13
1231,10393,ANAPC10
1232,5896,RAG1
1233,136371,ASB10
1234,868,CBLB
1235,6049,RNF6
1236,860,RUNX2
1237,285231,FBXW12
1238,7337,UBE3A
1239,6815,STYX
1240,83595,SOX7
1241,10477,UBE2E3
1242,6629,SNRPB2
1243,6625,SNRNP70
1244,6622,SNCA
1245,7324,UBE2E1
1246,84246,MED10
1247,7326,UBE2G1
1248,7327,UBE2G2
1249,7320,UBE2B
1250,7321,UBE2D1
1251,7322,UBE2D2
1252,7323,UBE2D3
1253,84930,MASTL
1254,10407,SPAG11B
1255,7328,UBE2H
1256,84937,ZNRF1
1257,8925,HERC1
1258,55700,MAP7D1
1259,253260,RICTOR
1260,51320,MEX3C
1261,89970,RSPRY1
1262,64798,DEPTOR
1263,317649,EIF4E3
1264,28513,CDH19
1265,166785,MMAA
